"T2010","TCRE","CO22010","cumuCO2result","p.sample"
"1",0.468782706947779,0.328550877159721,-0.550435433748238,-0.794965106107648,0.537242729662848
"1.1",0.431596132927959,0.429523925529167,-0.509008481869802,-0.792471532517364,0.547809556379666
"1.2",0.395570880714282,0.509174896170365,-0.467905015357157,-0.793219465999915,0.549904571320974
"1.3",0.362444298498581,0.57198323627264,-0.429597209065257,-0.7960446151555,0.547197419727433
"1.4",0.332738138296634,0.621799683768288,-0.394944087559994,-0.799969024348465,0.541896722003475
"1.5",0.306407510504634,0.661675795683751,-0.364038485514738,-0.804342247830616,0.535315505116749
"1.6",0.283170278420138,0.693938648239147,-0.336636884921282,-0.808777251797568,0.528221971076319
"1.7",0.262668839123527,0.720334575822384,-0.312373086712169,-0.813062414416785,0.521056800865113
"1.8",0.244544900423468,0.742169129237371,-0.290859586648065,-0.81709334455166,0.514065343418108
"1.9",0.22847059616895,0.760421281561201,-0.271732069932885,-0.820827893483075,0.50737708687835
"2",0.214158539821412,0.775830106810928,-0.25466597228062,-0.824258507695803,0.501053213303099
"2.1",0.2013622575873,0.788958467994371,-0.239379879080271,-0.827395875653842,0.495115045238485
"2.2",0.189872639843948,0.800239195268235,-0.22563314312089,-0.830259497605364,0.489561085122786
"2.3",0.179513103252866,0.810008463584634,-0.213221321602863,-0.832872372097112,0.484377230778914
"2.4",0.170134686913418,0.818529979259123,-0.201971127318008,-0.835258088886407,0.479542890398575
"2.5",0.161611587194309,0.826012607345087,-0.191735641028257,-0.837439311597081,0.475034620781378
"2.6",0.153837293733917,0.832623315883977,-0.182390069647179,-0.839437053214205,0.470828262812465
"2.7",0.146721333874238,0.838496762293305,-0.173828116581489,-0.841270396277769,0.466900162579984
"2.8",0.140186568949899,0.843742456603183,-0.165958933959795,-0.842956455716101,0.463227836153375
"2.9",0.134166965539293,0.848450162619776,-0.158704589381968,-0.844510467741656,0.459790297274189
"3",0.128605764216993,0.852694007056223,-0.15199797094689,-0.845945938198633,0.456568182914612
"3.1",0.123453975870701,0.856535633121984,-0.145781057992499,-0.847274812935785,0.453543760032204
"3.2",0.118669145699799,0.860026641306351,-0.140003493503229,-0.848507649786031,0.450700864995297
"3.3",0.114214335072407,0.863210493880297,-0.134621403836563,-0.849653781595722,0.448024807374798
"3.4",0.110057280454779,0.866124012553444,-0.129596420653031,-0.850721465405543,0.445502257457791
"3.5",0.106169696326451,0.868798564981792,-0.124894868067484,-0.851718016072952,0.443121129116206
"3.6",0.102526695367028,0.87126101145385,-0.120487084918883,-0.852649924364169,0.440870464828978
"3.7",0.0991063043869439,0.873534465343943,-0.116346857741579,-0.853522960436205,0.438740326636854
"3.8",0.095889058655461,0.875638907905912,-0.112450944657229,-0.854342264034575,0.436721694936308
"3.9",0.0928576606318468,0.877591688356106,-0.108778674157409,-0.855112422862539,0.434806375872454
"4",0.0899966917876519,0.879407933023454,-0.105311605769164,-0.855837540558209,0.432986917404227
